,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
171,Sergej Milinković-Savić,27,"Feb 27, 1995",Serbia,LAZIO,,Central Midfield,70.0,47,11,12,3777,0,0,1.91,"Aug 6, 2015","Jun 30, 2024",/sergej-milinkovi%C4%87-savi%C4%87/profil/spieler/266302
172,Luis Alberto,29,"Sep 28, 1992",Spain,LAZIO,,Central Midfield,28.0,44,5,12,3003,0,0,1.83,"Aug 31, 2016","Jun 30, 2025",/luis-alberto/profil/spieler/128220
173,Toma Basic,25,"Nov 25, 1996",Croatia,LAZIO,,Central Midfield,8.0,40,1,3,1626,0,0,1.9,"Aug 25, 2021","Jun 30, 2026",/toma-basic/profil/spieler/334835
181,Felipe Anderson,29,"Apr 15, 1993",Brazil,LAZIO,,Right Winger,13.0,48,7,8,3594,0,0,1.75,"Jul 16, 2021","Jun 30, 2024",/felipe-anderson/profil/spieler/159372
182,Pedro,34,"Jul 28, 1987",Spain,LAZIO,,Right Winger,3.0,41,10,5,2564,0,0,1.67,"Aug 19, 2021","Jun 30, 2023",/pedro/profil/spieler/65278
183,Luka Romero,17,"Nov 18, 2004",Argentina,LAZIO,,Right Winger,1.0,13,0,0,401,0,0,1.65,"Jul 20, 2021","Jun 30, 2023",/luka-romero/profil/spieler/769063
184,Ciro Immobile,32,"Feb 20, 1990",Italy,LAZIO,,Centre-Forward,27.0,40,32,4,3356,0,0,1.85,"Jul 27, 2016","Jun 30, 2026",/ciro-immobile/profil/spieler/105521
187,Rui Patrício,34,"Feb 15, 1988",Portugal,ROMA,,Goalkeeper,6.0,54,0,0,4860,60,22,1.9,"Jul 13, 2021","Jun 30, 2024",/rui-patricio/profil/spieler/45026
189,Pietro Boer,20,"May 12, 2002",Italy,ROMA,,Goalkeeper,0.15,2,0,0,180,3,0,1.93,"Jul 1, 2021","Jun 30, 2024",/pietro-boer/profil/spieler/581604
190,Davide Mastrantonio,18,"Jan 16, 2004",Italy,ROMA,,Goalkeeper,,35,0,0,3180,38,13,1.89,-,-,/davide-mastrantonio/profil/spieler/703227
191,Roger Ibañez,23,"Nov 23, 1998",Brazil,ROMA,,Centre-Back,23.0,51,4,0,4256,0,0,1.86,"Jul 1, 2021","Jun 30, 2025",/roger-ibanez/profil/spieler/524481
192,Gianluca Mancini,26,"Apr 17, 1996",Italy,ROMA,,Centre-Back,21.0,46,1,1,4032,0,0,1.9,"Sep 1, 2020","Jun 30, 2027",/gianluca-mancini/profil/spieler/256448
193,Marash Kumbulla,22,"Feb 8, 2000 ",Albania,ROMA,,Centre-Back,16.0,28,1,0,1801,0,0,1.91,"Jul 1, 2021","Jun 30, 2025",/marash-kumbulla/profil/spieler/371371
194,Chris Smalling,32,"Nov 22, 1989",England,ROMA,,Centre-Back,8.0,38,4,0,2902,0,0,1.94,"Oct 5, 2020","Jun 30, 2023",/chris-smalling/profil/spieler/103427
195,Maissa Ndiaye,20,"Jan 28, 2002",Senegal,ROMA,,Centre-Back,0.4,32,2,0,2805,0,0,1.9,-,"Jun 30, 2023",/maissa-ndiaye/profil/spieler/716411
196,Dimitrios Keramitsis,17,"Jul 1, 2004 ",Greece,ROMA,,Centre-Back,,29,1,0,2264,0,0,1.93,-,"Jun 30, 2024",/dimitrios-keramitsis/profil/spieler/861192
197,Leonardo Spinazzola,29,"Mar 25, 1993",Italy,ROMA,,Left-Back,20.0,4,0,0,152,0,0,1.86,"Jul 1, 2019","Jun 30, 2024",/leonardo-spinazzola/profil/spieler/118689
198,Matías Viña,24,"Nov 9, 1997 ",Uruguay,ROMA,,Left-Back,7.5,37,0,2,2104,0,0,1.75,"Aug 8, 2021","Jun 30, 2023",/matias-vina/profil/spieler/439072
201,Jan Oliveras,17,"Jul 7, 2004 ",Spain,ROMA,,Left-Back,,20,1,5,926,0,0,-,-,"Jun 30, 2026",/jan-oliveras/profil/spieler/709970
202,Rick Karsdorp,27,"Feb 11, 1995",Netherlands,ROMA,,Right-Back,13.0,51,0,7,4083,0,0,1.84,"Jul 1, 2017","Jun 30, 2025",/rick-karsdorp/profil/spieler/205006
204,Filippo Missori,18,"Mar 24, 2004",Italy,ROMA,,Right-Back,,37,3,1,2563,0,0,1.82,-,"Jun 30, 2026",/filippo-missori/profil/spieler/650993
205,Bryan Cristante,27,"Mar 3, 1995 ",Italy,ROMA,,Defensive Midfield,20.0,50,3,2,3828,0,0,1.86,"Jul 1, 2019","Jun 30, 2024",/bryan-cristante/profil/spieler/199248
208,Ebrima Darboe,21,"Jun 6, 2001 ",The Gambia,ROMA,,Defensive Midfield,2.0,5,0,1,231,0,0,1.79,"Jul 1, 2021","Jun 30, 2026",/ebrima-darboe/profil/spieler/647484
209,Filippo Tripi,20,"Jan 6, 2002 ",Italy,ROMA,,Defensive Midfield,0.3,31,1,4,2688,0,0,1.8,"Oct 1, 2021","Jun 30, 2025",/filippo-tripi/profil/spieler/628645
212,Edoardo Bove,20,"May 16, 2002",Italy,ROMA,,Central Midfield,1.1,13,1,0,114,0,0,1.79,"Jul 1, 2021","Jun 30, 2025",/edoardo-bove/profil/spieler/562049
214,Nicola Zalewski,20,"Jan 23, 2002",Poland,ROMA,,Left Midfield,12.0,24,0,2,1206,0,0,1.75,"Jul 1, 2021","Jun 30, 2025",/nicola-zalewski/profil/spieler/550108
215,Lorenzo Pellegrini,26,"Jun 19, 1996",Italy,ROMA,,Attacking Midfield,45.0,41,14,8,3223,0,0,1.86,"Jul 1, 2017","Jun 30, 2026",/lorenzo-pellegrini/profil/spieler/286297
216,Nicolò Zaniolo,22,"Jul 2, 1999 ",Italy,ROMA,,Attacking Midfield,33.0,42,8,9,2876,0,0,1.9,"Jul 1, 2018","Jun 30, 2027",/nicolo-zaniolo/profil/spieler/392085
218,Cristian Volpato,18,"Nov 15, 2003",Italy,ROMA,,Attacking Midfield,0.9,35,12,5,2176,0,0,1.87,"Oct 1, 2022","Jun 30, 2026",/cristian-volpato/profil/spieler/746891
219,Stephan El Shaarawy,29,"Oct 27, 1992",Italy,ROMA,,Left Winger,6.0,36,7,1,1523,0,0,1.78,"Jan 30, 2021","Jun 30, 2023",/stephan-el-shaarawy/profil/spieler/94529
221,Tammy Abraham,24,"Oct 2, 1997 ",England,ROMA,,Centre-Forward,50.0,53,27,5,4257,0,0,1.94,"Aug 17, 2021","Jun 30, 2026",/tammy-abraham/profil/spieler/331726
223,Eldor Shomurodov,27,"Jun 29, 1995",Uzbekistan,ROMA,,Centre-Forward,8.0,40,5,6,1188,0,0,1.9,"Aug 2, 2021","Jun 30, 2023",/eldor-shomurodov/profil/spieler/358166
225,Joel Voelkerling Persson,19,"Jan 15, 2003",Sweden,ROMA,,Centre-Forward,0.6,32,14,7,2281,0,0,1.94,-,"Jun 30, 2027",/joel-voelkerling-persson/profil/spieler/647534
227,Pietro Terracciano,32,"Mar 8, 1990 ",Italy,FIORENTINA,,Goalkeeper,1.5,36,0,0,3205,47,10,1.93,"Jul 7, 2019","Jun 30, 2025",/pietro-terracciano/profil/spieler/96254
230,Nikola Milenković,24,"Oct 12, 1997",Serbia,FIORENTINA,,Centre-Back,20.0,39,3,0,3328,0,0,1.95,"Jul 1, 2017","Jun 30, 2027",/nikola-milenkovi%C4%87/profil/spieler/413507
231,Igor,24,"Feb 7, 1998 ",Brazil,FIORENTINA,,Centre-Back,14.0,35,0,1,2626,0,0,1.85,"Jul 1, 2021","Jun 30, 2024",/igor/profil/spieler/380350
232,Lucas Martínez Quarta,26,"May 10, 1996",Argentina,FIORENTINA,,Centre-Back,12.0,22,1,0,1598,0,0,1.83,"Oct 5, 2020","Jun 30, 2025",/lucas-martinez-quarta/profil/spieler/373373
233,Germán Pezzella,31,"Jun 27, 1991",Argentina,FIORENTINA,,Centre-Back,5.0,35,1,1,3155,0,0,1.87,"Jul 1, 2018","Jun 30, 2025",/german-pezzella/profil/spieler/113133
235,Filippo Frison,19,"Jul 30, 2002",Italy,FIORENTINA,,Centre-Back,0.15,33,1,0,2797,0,0,-,-,-,/filippo-frison/profil/spieler/610383
236,Cristiano Biraghi,29,"Sep 1, 1992 ",Italy,FIORENTINA,,Left-Back,10.0,42,5,2,3645,0,0,1.85,"Jul 1, 2018","Jun 30, 2024",/cristiano-biraghi/profil/spieler/124555
238,Aleksa Terzić,22,"Aug 17, 1999",Serbia,FIORENTINA,,Left-Back,1.5,15,0,1,351,0,0,1.84,"Jul 1, 2019","Jun 30, 2024",/aleksa-terzi%C4%87/profil/spieler/404260
240,Lorenzo Venuti,27,"Apr 12, 1995",Italy,FIORENTINA,,Right-Back,3.0,28,2,1,1989,0,0,1.79,"Jul 1, 2014","Jun 30, 2024",/lorenzo-venuti/profil/spieler/240219
242,Sofyan Amrabat,25,"Aug 21, 1996",Morocco,FIORENTINA,,Defensive Midfield,10.0,25,1,0,1051,0,0,1.85,"Jan 30, 2020","Jun 30, 2024",/sofyan-amrabat/profil/spieler/287579
244,Gaetano Castrovilli,25,"Feb 17, 1997",Italy,FIORENTINA,,Central Midfield,12.0,27,1,2,1648,0,0,1.87,"Jul 1, 2017","Jun 30, 2024",/gaetano-castrovilli/profil/spieler/303116
245,Alfred Duncan,29,"Mar 10, 1993",Ghana,FIORENTINA,,Central Midfield,8.5,37,2,2,2085,0,0,1.78,"Sep 1, 2020","Jun 30, 2024",/alfred-duncan/profil/spieler/184894
246,Youssef Maleh,23,"Aug 22, 1998",Morocco,FIORENTINA,,Central Midfield,5.0,33,3,4,1334,0,0,1.79,"Jan 20, 2021","Jun 30, 2023",/youssef-maleh/profil/spieler/324377
247,Giacomo Bonaventura,32,"Aug 22, 1989",Italy,FIORENTINA,,Central Midfield,3.0,35,4,9,2509,0,0,1.8,"Sep 10, 2020","Jun 30, 2024",/giacomo-bonaventura/profil/spieler/57280
249,Alessandro Bianco,19,"Oct 1, 2002 ",Italy,FIORENTINA,,Central Midfield,0.35,35,3,7,2975,0,0,1.73,"Jul 1, 2022","Jun 30, 2026",/alessandro-bianco/profil/spieler/602124
250,Riccardo Saponara,30,"Dec 21, 1991",Italy,FIORENTINA,,Attacking Midfield,2.5,34,3,4,1547,0,0,1.84,"Jul 1, 2018","Jun 30, 2023",/riccardo-saponara/profil/spieler/88909
251,Vittorio Agostinelli,20,"Feb 21, 2002",Italy,FIORENTINA,,Attacking Midfield,0.1,30,4,2,2218,0,0,1.83,-,"Jun 30, 2023",/vittorio-agostinelli/profil/spieler/561150
252,Nicolás González,24,"Apr 6, 1998 ",Argentina,FIORENTINA,,Left Winger,25.0,39,8,9,2698,0,0,1.8,"Jul 1, 2021","Jun 30, 2026",/nicolas-gonzalez/profil/spieler/486031
253,Riccardo Sottil,23,"Jun 3, 1999 ",Italy,FIORENTINA,,Left Winger,9.0,29,4,2,1433,0,0,1.8,"Jul 1, 2018","Jun 30, 2026",/riccardo-sottil/profil/spieler/386455
254,Jonathan Ikoné,24,"May 2, 1998 ",France,FIORENTINA,,Right Winger,18.0,46,3,4,2272,0,0,1.75,"Jan 3, 2022","Jun 30, 2026",/jonathan-ikone/profil/spieler/324690
256,Destiny Egharevba,19,"Feb 4, 2003 ",Italy,FIORENTINA,,Right Winger,0.1,26,5,0,1231,0,0,-,-,"Jun 30, 2023",/destiny-egharevba/profil/spieler/704176
258,Filippo Distefano,18,"Aug 28, 2003",Italy,FIORENTINA,,Second Striker,0.3,35,4,4,2565,0,0,-,-,"Jun 30, 2024",/filippo-distefano/profil/spieler/669915
260,Arthur Cabral,24,"Apr 25, 1998",Brazil,FIORENTINA,,Centre-Forward,14.0,47,29,10,3404,0,0,1.86,"Jan 29, 2022","Jun 30, 2026",/arthur-cabral/profil/spieler/390638
262,Louis Munteanu,20,"Jun 16, 2002",Romania,FIORENTINA,,Centre-Forward,0.35,11,2,0,649,0,0,1.84,-,-,/louis-munteanu/profil/spieler/547786
263,Eljon Toci,19,"Jan 9, 2003 ",Albania,FIORENTINA,,Centre-Forward,0.25,38,15,8,2776,0,0,1.83,-,"Jun 30, 2026",/eljon-toci/profil/spieler/724418
264,Juan Musso,28,"May 6, 1994 ",Argentina,ATALANTA,,Goalkeeper,18.0,47,0,0,4193,64,12,1.91,"Jul 2, 2021","Jun 30, 2025",/juan-musso/profil/spieler/242359
265,Marco Sportiello,30,"May 10, 1992",Italy,ATALANTA,,Goalkeeper,1.5,5,0,0,450,5,2,1.92,"Jun 22, 2012","Jun 30, 2023",/marco-sportiello/profil/spieler/199976
266,Jacopo Sassi,18,"Jul 24, 2003",Italy,ATALANTA,,Goalkeeper,0.2,31,0,0,2820,41,9,1.94,-,-,/jacopo-sassi/profil/spieler/617808
267,Matevz Dajcar,20,"Feb 5, 2002 ",Slovenia,ATALANTA,,Goalkeeper,0.15,14,0,0,1260,27,1,1.9,-,"Jun 30, 2023",/matevz-dajcar/profil/spieler/704079
268,Francesco Rossi,31,"Apr 27, 1991",Italy,ATALANTA,,Goalkeeper,0.1,1,0,0,36,1,0,1.93,"Aug 1, 2009","Jun 30, 2024",/francesco-rossi/profil/spieler/126634
269,Tommaso Bertini,18,"Jan 13, 2004",Italy,ATALANTA,,Goalkeeper,,29,0,0,2570,59,3,-,-,-,/tommaso-bertini/profil/spieler/667060
271,Berat Djimsiti,29,"Feb 19, 1993",Albania,ATALANTA,,Centre-Back,17.0,41,3,1,2932,0,0,1.9,"Jan 18, 2016","Jun 30, 2026",/berat-djimsiti/profil/spieler/165513
272,Giorgio Scalvini,18,"Dec 11, 2003",Italy,ATALANTA,,Centre-Back,10.0,30,4,0,1703,0,0,1.94,"Jul 9, 2021","Jun 30, 2027",/giorgio-scalvini/profil/spieler/571604
273,Rafael Tolói,31,"Oct 10, 1990",Italy,ATALANTA,,Centre-Back,8.0,28,1,1,2079,0,0,1.85,"Aug 26, 2015","Jun 30, 2024",/rafael-toloi/profil/spieler/72441
274,José Luis Palomino,32,"Jan 5, 1990 ",Argentina,ATALANTA,,Centre-Back,7.5,45,2,1,3539,0,0,1.88,"Jul 1, 2017","Jun 30, 2024",/jose-luis-palomino/profil/spieler/125020
278,Joakim Maehle,25,"May 20, 1997",Denmark,ATALANTA,,Left-Back,14.0,35,3,2,2101,0,0,1.85,"Jan 4, 2021","Jun 30, 2025",/joakim-maehle/profil/spieler/369674
280,Hans Hateboer,28,"Jan 9, 1994 ",Netherlands,ATALANTA,,Right-Back,13.0,30,0,0,2110,0,0,1.85,"Jan 31, 2017","Jun 30, 2024",/hans-hateboer/profil/spieler/275303
281,Davide Zappacosta,30,"Jun 11, 1992",Italy,ATALANTA,,Right-Back,9.0,45,2,8,3183,0,0,1.82,"Aug 24, 2021","Jun 30, 2025",/davide-zappacosta/profil/spieler/173859
283,Teun Koopmeiners,24,"Feb 28, 1998",Netherlands,ATALANTA,,Defensive Midfield,25.0,47,4,4,3215,0,0,1.83,"Aug 30, 2021","Jun 30, 2025",/teun-koopmeiners/profil/spieler/360518
284,Marten de Roon,31,"Mar 29, 1991",Netherlands,ATALANTA,,Defensive Midfield,17.0,44,3,1,3667,0,0,1.85,"Aug 10, 2017","Jun 30, 2024",/marten-de-roon/profil/spieler/133179
285,Simone Panada,20,"Jun 2, 2002 ",Italy,ATALANTA,,Defensive Midfield,0.3,37,1,7,2599,0,0,1.75,-,-,/simone-panada/profil/spieler/487836
290,Federico Zuccon,19,"Apr 1, 2003 ",Italy,ATALANTA,,Central Midfield,0.2,38,1,2,2410,0,0,-,-,-,/federico-zuccon/profil/spieler/567472
291,Andrea Oliveri,19,"Jan 14, 2003",Italy,ATALANTA,,Right Midfield,0.4,42,5,7,3144,0,0,1.81,-,-,/andrea-oliveri/profil/spieler/663939
292,Guillaume Renault,20,"Mar 17, 2002",Italy,ATALANTA,,Right Midfield,0.35,36,7,9,2811,0,0,1.79,-,"Jun 30, 2023",/guillaume-renault/profil/spieler/487846
294,Ruslan Malinovskyi,29,"May 4, 1993 ",Ukraine,ATALANTA,,Attacking Midfield,28.0,41,10,7,2313,0,0,1.81,"Jul 16, 2019","Jun 30, 2023",/ruslan-malinovskyi/profil/spieler/207877
295,Mario Pasalic,27,"Feb 9, 1995 ",Croatia,ATALANTA,,Attacking Midfield,28.0,48,14,9,2526,0,0,1.88,"Sep 1, 2020","Jun 30, 2025",/mario-pasalic/profil/spieler/205938
302,Tommaso De Nipoti,18,"Jul 23, 2003",Italy,ATALANTA,,Second Striker,0.15,26,4,6,1813,0,0,1.8,-,-,/tommaso-de-nipoti/profil/spieler/622031
303,Duván Zapata,31,"Apr 1, 1991 ",Colombia,ATALANTA,,Centre-Forward,28.0,32,13,7,2313,0,0,1.89,"Jan 17, 2020","Jun 30, 2024",/duvan-zapata/profil/spieler/73794
304,Luis Muriel,31,"Apr 16, 1991",Colombia,ATALANTA,,Centre-Forward,20.0,39,14,10,2057,0,0,1.79,"Jul 1, 2019","Jun 30, 2024",/luis-muriel/profil/spieler/119228
310,Mattia Chiesa,21,"Jul 16, 2000",Italy,VERONA,,Goalkeeper,0.1,8,0,0,750,6,3,1.9,"Jul 1, 2019","Jun 30, 2023",/mattia-chiesa/profil/spieler/535881
311,Kaur Kivila,18,"Nov 22, 2003",Estonia,VERONA,,Goalkeeper,0.075,30,0,0,2700,49,5,1.87,-,"Jun 30, 2023",/kaur-kivila/profil/spieler/488270
312,Alessandro Berardi,31,"Jan 16, 1991",Italy,VERONA,,Goalkeeper,0.05,1,0,0,90,3,0,1.85,"Dec 14, 2018","Jun 30, 2025",/alessandro-berardi/profil/spieler/127217
314,Elia Boseggia,18,"Feb 6, 2004 ",Italy,VERONA,,Goalkeeper,,14,0,0,1260,27,2,-,-,-,/elia-boseggia/profil/spieler/678006
315,Giacomo Toniolo,18,"Apr 1, 2004 ",Italy,VERONA,,Goalkeeper,,12,0,0,1080,31,0,-,-,-,/giacomo-toniolo/profil/spieler/709986
317,Koray Günter,27,"Aug 16, 1994",Germany,VERONA,,Centre-Back,5.0,31,1,0,2481,0,0,1.86,"Sep 2, 2020","Jun 30, 2023",/koray-gunter/profil/spieler/115763
318,Pawel Dawidowicz,27,"May 20, 1995",Poland,VERONA,,Centre-Back,4.5,19,0,0,1318,0,0,1.89,"Jul 1, 2019","Jun 30, 2025",/pawel-dawidowicz/profil/spieler/248732
319,Federico Ceccherini,30,"May 11, 1992",Italy,VERONA,,Centre-Back,4.0,35,1,0,2456,0,0,1.87,"Jul 1, 2021","Jun 30, 2024",/federico-ceccherini/profil/spieler/163639
325,Diego Coppola,18,"Dec 28, 2003",Italy,VERONA,,Centre-Back,1.0,19,0,0,1599,0,0,1.92,"Jan 1, 2022","Jun 30, 2027",/diego-coppola/profil/spieler/660860
327,Davide Faraoni,30,"Oct 25, 1991",Italy,VERONA,,Right-Back,5.0,32,4,6,2578,0,0,1.8,"Jul 1, 2019","Jun 30, 2025",/davide-faraoni/profil/spieler/73926
330,Adrien Tamèze,28,"Feb 4, 1994 ",Cameroon,VERONA,,Defensive Midfield,10.0,40,4,2,2644,0,0,1.8,"Sep 3, 2020","Jun 30, 2024",/adrien-tameze/profil/spieler/157507
332,Miguel Veloso,36,"May 11, 1986",Portugal,VERONA,,Defensive Midfield,0.9,24,0,4,1504,0,0,1.8,"Jul 20, 2019","Jun 30, 2023",/miguel-veloso/profil/spieler/43848
333,Ivan Ilić,21,"Mar 17, 2001",Serbia,VERONA,,Central Midfield,14.0,34,2,5,2569,0,0,1.85,"Aug 12, 2021","Jun 30, 2023",/ivan-ili%C4%87/profil/spieler/470794
335,Filippo Terracciano,19,"Feb 8, 2003 ",Italy,VERONA,,Central Midfield,0.25,35,0,3,2626,0,0,1.81,"Jul 1, 2022","Jun 30, 2026",/filippo-terracciano/profil/spieler/631007
336,Christian Pierobon,20,"Mar 26, 2002",Italy,VERONA,,Central Midfield,0.125,32,4,5,2615,0,0,-,-,-,/christian-pierobon/profil/spieler/554433
337,Mattia Turra,19,"Aug 29, 2002",Italy,VERONA,,Central Midfield,0.05,23,0,0,1466,0,0,-,-,-,/mattia-turra/profil/spieler/554432
338,Darko Lazović,31,"Sep 15, 1990",Serbia,VERONA,,Left Midfield,4.0,35,2,7,2859,0,0,1.81,"Aug 6, 2019","Jun 30, 2024",/darko-lazovi%C4%87/profil/spieler/70411
340,Mateusz Praszelik,21,"Sep 26, 2000",Poland,VERONA,,Attacking Midfield,1.4,22,4,3,1465,0,0,1.84,"Jan 2, 2023","Jun 30, 2023",/mateusz-praszelik/profil/spieler/374418
345,Mattia Florio,18,"Sep 5, 2003 ",Italy,VERONA,,Second Striker,0.15,36,3,5,1692,0,0,1.82,-,-,/mattia-florio/profil/spieler/704423
347,Kevin Lasagna,29,"Aug 10, 1992",Italy,VERONA,,Centre-Forward,3.5,29,2,4,1242,0,0,1.81,"Jul 1, 2021","Jun 30, 2025",/kevin-lasagna/profil/spieler/131951
350,David Flakus Bosilj,20,"Feb 1, 2002 ",Slovenia,VERONA,,Centre-Forward,0.45,40,12,4,2825,0,0,1.85,-,-,/david-flakus-bosilj/profil/spieler/506941
351,Vanja Milinković-Savić,25,"Feb 20, 1997",Serbia,TORINO,,Goalkeeper,2.5,28,0,0,2550,33,5,2.02,"Jul 1, 2017","Jun 30, 2024",/vanja-milinkovi%C4%87-savi%C4%87/profil/spieler/257474
353,Luca Gemello,21,"Jul 3, 2000 ",Italy,TORINO,,Goalkeeper,0.3,1,0,0,90,0,1,1.9,"Jul 1, 2019","Jun 30, 2023",/luca-gemello/profil/spieler/463792
354,Alberto Milan,19,"Apr 4, 2003 ",Italy,TORINO,,Goalkeeper,0.1,32,0,0,2834,43,8,-,-,"Jun 30, 2023",/alberto-milan/profil/spieler/652920
356,David Zima,21,"Nov 8, 2000 ",Czech Republic,TORINO,,Centre-Back,7.0,27,0,0,1803,0,0,1.9,"Aug 31, 2021","Jun 30, 2025",/david-zima/profil/spieler/544149
